order_id,order_date,user_id,order_status,product_id,qty,unit_price,order_total
60041,2025-10-25,9008,completed,1029,1,95.54,95.54
60042,2025-10-25,9030,completed,1021,5,220.9,1104.5
60043,2025-10-25,9030,pending,1014,1,99.39,99.39
60044,2025-10-25,9036,cancelled,1029,2,95.54,191.08
60045,2025-10-25,9048,cancelled,1009,3,367.5,1102.5
60046,2025-10-25,9011,pending,1002,1,238.77,238.77
60047,2025-10-25,9017,pending,1028,5,474.93,2374.65
60048,2025-10-25,9021,completed,1004,5,493.3,2466.5
60049,2025-10-25,9040,cancelled,1013,5,220.98,1104.9
60050,2025-10-25,9033,cancelled,1006,3,28.15,84.45
60051,2025-10-25,9034,cancelled,1003,4,320.25,1281.0
60052,2025-10-25,9016,cancelled,1024,3,265.41,796.23
60053,2025-10-25,9039,cancelled,1004,1,493.3,493.3
60054,2025-10-25,9040,pending,1024,3,265.41,796.23
60055,2025-10-25,9041,completed,1025,2,126.19,252.38
60056,2025-10-25,9038,completed,1015,1,154.4,154.4
60057,2025-10-25,9049,cancelled,1028,2,474.93,949.86
60058,2025-10-25,9029,pending,1006,1,28.15,28.15
60059,2025-10-25,9028,completed,1022,5,248.67,1243.35
60060,2025-10-25,9049,pending,1002,5,238.77,1193.85
