order_id,order_date,user_id,order_status,product_id,qty,unit_price,order_total
60021,2025-10-24,9045,cancelled,1010,5,483.27,2416.35
60022,2025-10-24,9021,cancelled,1020,1,171.72,171.72
60023,2025-10-24,9050,completed,1020,3,171.72,515.16
60024,2025-10-24,9017,cancelled,1003,2,320.25,640.5
60025,2025-10-24,9011,pending,1029,3,95.54,286.62
60026,2025-10-24,9014,pending,1012,1,256.83,256.83
60027,2025-10-24,9005,cancelled,1004,5,493.3,2466.5
60028,2025-10-24,9034,cancelled,1018,5,155.14,775.7
60029,2025-10-24,9035,cancelled,1015,2,154.4,308.8
60030,2025-10-24,9035,completed,1004,1,493.3,493.3
60031,2025-10-24,9011,completed,1026,5,18.78,93.9
60032,2025-10-24,9031,cancelled,1015,5,154.4,772.0
60033,2025-10-24,9002,pending,1020,5,171.72,858.6
60034,2025-10-24,9050,cancelled,1016,1,211.97,211.97
60035,2025-10-24,9012,pending,1022,5,248.67,1243.35
60036,2025-10-24,9021,completed,1010,2,483.27,966.54
60037,2025-10-24,9050,cancelled,1017,4,195.64,782.56
60038,2025-10-24,9008,cancelled,1028,5,474.93,2374.65
60039,2025-10-24,9009,pending,1026,5,18.78,93.9
60040,2025-10-24,9003,cancelled,1003,5,320.25,1601.25
