order_id,order_date,user_id,order_status,product_id,qty,unit_price,order_total
60061,2025-10-26,9032,pending,1026,3,18.78,56.34
60062,2025-10-26,9040,pending,1017,2,195.64,391.28
60063,2025-10-26,9013,pending,1023,3,329.67,989.01
60064,2025-10-26,9028,pending,1018,3,155.14,465.42
60065,2025-10-26,9043,completed,1018,3,155.14,465.42
60066,2025-10-26,9040,pending,1028,2,474.93,949.86
60067,2025-10-26,9018,completed,1029,2,95.54,191.08
60068,2025-10-26,9020,completed,1022,2,248.67,497.34
60069,2025-10-26,9025,cancelled,1024,1,265.41,265.41
60070,2025-10-26,9026,completed,1014,5,99.39,496.95
60071,2025-10-26,9005,pending,1020,1,171.72,171.72
60072,2025-10-26,9045,completed,1021,1,220.9,220.9
60073,2025-10-26,9025,pending,1003,5,320.25,1601.25
60074,2025-10-26,9012,completed,1005,4,279.31,1117.24
60075,2025-10-26,9005,cancelled,1028,1,474.93,474.93
60076,2025-10-26,9040,pending,1010,4,483.27,1933.08
60077,2025-10-26,9025,cancelled,1013,4,220.98,883.92
60078,2025-10-26,9026,completed,1009,2,367.5,735.0
60079,2025-10-26,9017,completed,1026,3,18.78,56.34
60080,2025-10-26,9020,pending,1027,4,251.45,1005.8
